序號,姓名,職位/角色,主要貢獻,出現次數,完整描述
1,立法院委員,立法院立法者 / 委員會成員,提出關於流程公平正義與可信度的關注，強調應由參選者展現專業知識而非僅靠助理表達立場；呼籲立法過程應更具多元參與性，並建議以抽籤方式選任委員是荒謬的，應改由專業表達；同時提出希望公開立委背後的利益結構，以促進透明與公民監督，並主張公民社會應是立法過程的夥伴而非僅為監督者。,28,立法院委員 - 立法院立法者 / 委員會成員 - 提出關於流程公平正義與可信度的關注，強調應由參選者展現專業知識而非僅靠助理表達立場；呼籲立法過程應更具多元參與性，並建議以抽籤方式選任委員是荒謬的，應改由專業表達；同時提出希望公開立委背後的利益結構，以促進透明與公民監督，並主張公民社會應是立法過程的夥伴而非僅為監督者。 (AI識別出現 28 次)
2,侯宜秀,委員（公私協力計畫推動者）,主要貢獻或發言重點：提出應先共同擬定預算表，強調公私協力架構下各單位需明確盤點實際所需資源，包括人力與經費，並指出立法院已投入大量隱性經費，未來仍需進一步釐清如聘請外部委員或獨立觀察者等項目所需的具體人數與時程，以精確估算資金缺口與申請來源。,19,侯宜秀 - 委員（公私協力計畫推動者） - 主要貢獻或發言重點：提出應先共同擬定預算表，強調公私協力架構下各單位需明確盤點實際所需資源，包括人力與經費，並指出立法院已投入大量隱性經費，未來仍需進一步釐清如聘請外部委員或獨立觀察者等項目所需的具體人數與時程，以精確估算資金缺口與申請來源。 (AI識別出現 19 次)
3,洪顧問慈庸（主席）,會議主席 / 立法院相關政策理解者,說明會議應先由小組自行討論並列出台灣民眾認為重要的議題，再與行政部門溝通，強調應以民眾需求為出發點，行政部門應配合而非一開始就拒絕；並指出目前議題雖非無法執行，但資源與時間分配是關鍵問題，建議先形成方向再調整順序。,16,洪顧問慈庸（主席） - 會議主席 / 立法院相關政策理解者 - 說明會議應先由小組自行討論並列出台灣民眾認為重要的議題，再與行政部門溝通，強調應以民眾需求為出發點，行政部門應配合而非一開始就拒絕；並指出目前議題雖非無法執行，但資源與時間分配是關鍵問題，建議先形成方向再調整順序。 (AI識別出現 16 次)
4,我（未具體命名）,工作小組成員 / 會議主持人,提出會議庶務費用預算規劃，建議工作小組編製預算表並透過Slack頻道徵求委員意見，強調需區分公私協力計畫與IRM計畫，避免混亂，並說明明年民主基金會計畫需於9月底前提出，預算分配將由工作小組決定。,10,我（未具體命名）- 工作小組成員 / 會議主持人 - 提出會議庶務費用預算規劃，建議工作小組編製預算表並透過Slack頻道徵求委員意見，強調需區分公私協力計畫與IRM計畫，避免混亂，並說明明年民主基金會計畫需於9月底前提出，預算分配將由工作小組決定。 (AI識別出現 10 次)
5,田君陽,公都盟副執行長,提出公都盟關於IRM（獨立研究報告）撰寫的規劃，說明立法院官方版與民間版影子報告的時間表與經費預算，並建議透過申請企劃方式向民主基金會補助，強調第一期報告在行動方案首年結束前完成，第二期每兩年一次，總共四份報告，經費每年約30至50萬，目標一次申請50萬。,9,田君陽 - 公都盟副執行長 - 提出公都盟關於IRM（獨立研究報告）撰寫的規劃，說明立法院官方版與民間版影子報告的時間表與經費預算，並建議透過申請企劃方式向民主基金會補助，強調第一期報告在行動方案首年結束前完成，第二期每兩年一次，總共四份報告，經費每年約30至50萬，目標一次申請50萬。 (AI識別出現 9 次)
6,周韻采,工作小組成員 / 意見彙整推動者,強調應先彙整焦點團體的意見，提出應區分「重要意見」（priority）並針對這些意見決定是否納入工作小組，避免過度承諾每年必須處理所有意見，強調需考量預算與執行時程的現實限制。,8,周韻采 - 工作小組成員 / 意見彙整推動者 - 強調應先彙整焦點團體的意見，提出應區分「重要意見」（priority）並針對這些意見決定是否納入工作小組，避免過度承諾每年必須處理所有意見，強調需考量預算與執行時程的現實限制。 (AI識別出現 8 次)
7,立委,無具體姓名，職位/角色：立法機構成員（參與公聽會評論與政策討論）,主要貢獻或發言重點：指出台灣立委將公聽會作為應付遊說團體的方式，強調公聽會應具可執行性；提出IVOD與YouTube國會串流應針對單一公聽會直播，並提供影片下載功能；建議多元形式的公聽會與後續追蹤機制；批評現行旁聽制度存在空間狹小、攝影機多、無法看清討論內容、無障礙設施不足等問題，並呼籲劃設媒體專區、開放院會旁聽、簡化旁聽證換取流程、強化無障礙設施。,7,立委 - 無具體姓名，職位/角色：立法機構成員（參與公聽會評論與政策討論） - 主要貢獻或發言重點：指出台灣立委將公聽會作為應付遊說團體的方式，強調公聽會應具可執行性；提出IVOD與YouTube國會串流應針對單一公聽會直播，並提供影片下載功能；建議多元形式的公聽會與後續追蹤機制；批評現行旁聽制度存在空間狹小、攝影機多、無法看清討論內容、無障礙設施不足等問題，並呼籲劃設媒體專區、開放院會旁聽、簡化旁聽證換取流程、強化無障礙設施。 (AI識別出現 7 次)
8,吳銘軒,政策建議者 / 領導討論者,提出「三三四」資金分攤模式（政府與民間各出約33%、34%及1%），強調需建立與影子報告有區別的IRM制度，並建議由政府與民間共同籌資、共同委託研究單位執行，同時提醒民主基金會申請補助的規範與限制,6,吳銘軒 - 政策建議者 / 領導討論者 - 提出「三三四」資金分攤模式（政府與民間各出約33%、34%及1%），強調需建立與影子報告有區別的IRM制度，並建議由政府與民間共同籌資、共同委託研究單位執行，同時提醒民主基金會申請補助的規範與限制 (AI識別出現 6 次)
9,耿璐,開放文化基金會代表 / 計畫申請者,提出對公私協力計畫財務分擔模式的疑問，認為若民間申請計畫卻需全額負擔費用，邏輯上不合理，強調公部門與私部門應各負一半，並指出申請計畫過程耗時耗力，呼籲更公平的財務分擔機制。,6,耿璐 - 開放文化基金會代表 / 計畫申請者 - 提出對公私協力計畫財務分擔模式的疑問，認為若民間申請計畫卻需全額負擔費用，邏輯上不合理，強調公部門與私部門應各負一半，並指出申請計畫過程耗時耗力，呼籲更公平的財務分擔機制。 (AI識別出現 6 次)
10,林哲瑋,建議者 / 小組成員,提出在與行政部門溝通時，應邀請於顥或相關人員親臨討論場景，以避免誤解；並建議由承辦人員而非高層代表參與，以便傳達實際問題與細節，促進民間與行政單位之間的協作與實際解決方案的產生。,5,林哲瑋 - 建議者 / 小組成員 - 提出在與行政部門溝通時，應邀請於顥或相關人員親臨討論場景，以避免誤解；並建議由承辦人員而非高層代表參與，以便傳達實際問題與細節，促進民間與行政單位之間的協作與實際解決方案的產生。 (AI識別出現 5 次)
11,民眾,無具體姓名，職位/角色：一般公眾參與者（參與公聽會與旁聽的實際體驗者）,主要貢獻或發言重點：反映旁聽院會困難，如難登記、空間不足、無法看清議程、無障礙設施缺乏；表達對媒體專區、院會開放旁聽、簡化旁聽程序與影音紀錄（含手語翻譯）的期待；支持接收活動訊息與參與實體,5,民眾 - 無具體姓名，職位/角色：一般公眾參與者（參與公聽會與旁聽的實際體驗者） - 主要貢獻或發言重點：反映旁聽院會困難，如難登記、空間不足、無法看清議程、無障礙設施缺乏；表達對媒體專區、院會開放旁聽、簡化旁聽程序與影音紀錄（含手語翻譯）的期待；支持接收活動訊息與參與實體 (AI識別出現 5 次)
12,侯宜秀,工作小組成員,提出關於會議時間安排的疑問，認為若每週整理後又隔週開會將導致工作負擔過重，並詢問於顥的意見（雖未明確提及於顥之姓名，但語境顯示其為另一參與者）,5,侯宜秀 - 工作小組成員 - 提出關於會議時間安排的疑問，認為若每週整理後又隔週開會將導致工作負擔過重，並詢問於顥的意見（雖未明確提及於顥之姓名，但語境顯示其為另一參與者） (AI識別出現 5 次)
13,彭教授,學者／會議發言人,被提及對民主基金會聘請IRM的經費來源提出看法，認為該經費應由民主基金會支應，並引發曾柏瑜對「民主基金會是否為真正民間機構」的疑慮，顯示其在制度性獨立性與資金來源方面的關切。,5,彭教授 - 學者／會議發言人 - 被提及對民主基金會聘請IRM的經費來源提出看法，認為該經費應由民主基金會支應，並引發曾柏瑜對「民主基金會是否為真正民間機構」的疑慮，顯示其在制度性獨立性與資金來源方面的關切。 (AI識別出現 5 次)
14,吳銘軒,員工/專案人員,明確提出問卷需上傳至vTaiwan，補充說明問卷寄送的具體執行方式：針對過去四至五年參與過立法院公聽會的人員，由團隊手動整理團體名單並逐一寄送，強調參與團體多與立法院業務相關，回應率較高，總計約三十幾個團體。,4,吳銘軒 - 員工/專案人員 - 明確提出問卷需上傳至vTaiwan，補充說明問卷寄送的具體執行方式：針對過去四至五年參與過立法院公聽會的人員，由團隊手動整理團體名單並逐一寄送，強調參與團體多與立法院業務相關，回應率較高，總計約三十幾個團體。 (AI識別出現 4 次)
15,吳銘軒,會議參與者 / 建議提出者,提出「阿端有沒有什麼建議？」後回應「就是君陽講的那樣」，顯示其對君陽先前說明內容的認同與承接，主要貢獻在於回應主席提問，並支持君陽所提的經費規劃方向。,4,吳銘軒 - 會議參與者 / 建議提出者 - 提出「阿端有沒有什麼建議？」後回應「就是君陽講的那樣」，顯示其對君陽先前說明內容的認同與承接，主要貢獻在於回應主席提問，並支持君陽所提的經費規劃方向。 (AI識別出現 4 次)
16,吕儀恬,立法院委員助理 / 數位化推動建議者,提出針對公民與立法院委員助理進行問卷調查，了解實際工作者對數位化操作的想像，並建議排除行政部門主導，讓實際參與者更深入參與數位化設計與實踐，強調應從實際操作者角度出發，提升數位國會的可行性與貼近性。,4,吕儀恬 - 立法院委員助理 / 數位化推動建議者 - 提出針對公民與立法院委員助理進行問卷調查，了解實際工作者對數位化操作的想像，並建議排除行政部門主導，讓實際參與者更深入參與數位化設計與實踐，強調應從實際操作者角度出發，提升數位國會的可行性與貼近性。 (AI識別出現 4 次)
17,會議主持人 / 報告人,無明確職稱,在會議中負責引導議題、報告立法院網站的使用情況與使用者困擾，並提出改善建議，內容涵蓋使用習慣、功能需求與資料開放問題，是整場討論的主軸發言者。,3,會議主持人 / 報告人 - 無明確職稱 - 在會議中負責引導議題、報告立法院網站的使用情況與使用者困擾，並提出改善建議，內容涵蓋使用習慣、功能需求與資料開放問題，是整場討論的主軸發言者。 (AI識別出現 3 次)
18,曾柏瑜,研究人員／會議發言人,澄清「研究助理」與「IRM（獨立監督人）」的職責差異，強調IRM並非執行庶務，而是觀察會議過程、記錄程序是否符合OGP標準，並指出IRM報告可能包含對立法院內部狀況或民間委員態度的批判，同時提出對民主基金會是否屬民間機構的疑問，表達對聘請經費來源與獨立性的思考。,3,曾柏瑜 - 研究人員／會議發言人 - 澄清「研究助理」與「IRM（獨立監督人）」的職責差異，強調IRM並非執行庶務，而是觀察會議過程、記錄程序是否符合OGP標準，並指出IRM報告可能包含對立法院內部狀況或民間委員態度的批判，同時提出對民主基金會是否屬民間機構的疑問，表達對聘請經費來源與獨立性的思考。 (AI識別出現 3 次)
